"county","tract","blockgroup","state","puma22","stab","CountyName","PUMA22name","pop20","afact"
"County code","Tract","Block group","State code","PUMA (2022)","State abbr.","County name","PUMA22 name","Total population (2020 Census)","blockgroup-to-puma22 allocation factor"
"06001","4001.00","1","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1789,1 
"06001","4001.00","2","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1249,1 
"06001","4002.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1022,1 
"06001","4002.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",979,1 
"06001","4003.00","1","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1123,1 
"06001","4003.00","2","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1528,1 
"06001","4003.00","3","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1390,1 
"06001","4003.00","4","06","00112","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Oakland Hills)",1463,1 
"06001","4004.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1558,1 
"06001","4004.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1353,1 
"06001","4004.00","3","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1201,1 
"06001","4005.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",2018,1 
"06001","4005.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",905,1 
"06001","4005.00","3","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",721,1 
"06001","4006.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1076,1 
"06001","4006.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",712,1 
"06001","4007.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1254,1 
"06001","4007.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1269,1 
"06001","4007.00","3","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",810,1 
"06001","4007.00","4","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1175,1 
"06001","4008.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1471,1 
"06001","4008.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1154,1 
"06001","4008.00","3","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1292,1 
"06001","4009.00","1","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1330,1 
"06001","4009.00","2","06","00111","CA","Alameda CA","Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",1184,1 
