"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"11497","G06000104001001",60014001001,"1","1"
"11498","G06000104001002",60014001002,"2","1"
"11499","G06000104002001",60014002001,"1","1"
"11500","G06000104002002",60014002002,"1","1"
"11501","G06000104003001",60014003001,"1","1"
"11502","G06000104003002",60014003002,"1","1"
"11503","G06000104003003",60014003003,"2","1"
"11504","G06000104003004",60014003004,"1","1"
"11505","G06000104004001",60014004001,"2","1"
"11506","G06000104004002",60014004002,"3","2"
"11507","G06000104004003",60014004003,"2","1"
"11508","G06000104005001",60014005001,"4","2"
"11509","G06000104005002",60014005002,"5","3"
"11510","G06000104005003",60014005003,"3","2"
"11511","G06000104006001",60014006001,"4","2"
"11512","G06000104006002",60014006002,"3","2"
"11513","G06000104007001",60014007001,"4","2"
"11514","G06000104007002",60014007002,"7","3"
"11515","G06000104007003",60014007003,"5","3"
"11516","G06000104007004",60014007004,"3","2"
"11517","G06000104008001",60014008001,"7","3"
"11518","G06000104008002",60014008002,"6","3"
"11519","G06000104008003",60014008003,"5","3"
"11520","G06000104009001",60014009001,"5","3"
"11521","G06000104009002",60014009002,"5","3"
"11522","G06000104010001",60014010001,"5","3"
"11523","G06000104010002",60014010002,"5","3"
"11524","G06000104010003",60014010003,"5","3"
"11525","G06000104010004",60014010004,"6","3"
"11526","G06000104010005",60014010005,"6","3"
"11527","G06000104010006",60014010006,"5","3"
"11528","G06000104011001",60014011001,"5","3"
"11529","G06000104011002",60014011002,"4","2"
"11530","G06000104011003",60014011003,"4","2"
"11531","G06000104011004",60014011004,"4","2"
"11532","G06000104012001",60014012001,"2","1"
"11533","G06000104012002",60014012002,"4","2"
"11534","G06000104012003",60014012003,"5","3"
"11535","G06000104013001",60014013001,"5","3"
"11536","G06000104013002",60014013002,"6","3"
"11537","G06000104013003",60014013003,"5","3"
"11538","G06000104014001",60014014001,"9","4"
"11539","G06000104014002",60014014002,"8","4"
"11540","G06000104014003",60014014003,"10","4"
"11541","G06000104015001",60014015001,"9","4"
"11542","G06000104015002",60014015002,"12","5"
"11543","G06000104015003",60014015003,"9","4"
"11544","G06000104016001",60014016001,"11","4"
"11545","G06000104016002",60014016002,"8","4"
"11546","G06000104017001",60014017001,"11","4"
"11547","G06000104017002",60014017002,"6","3"
"11548","G06000104017003",60014017003,"6","3"
"11549","G06000104018001",60014018001,"6","3"
"11550","G06000104018002",60014018002,"6","3"
"11551","G06000104022001",60014022001,"11","4"
"11552","G06000104022002",60014022002,"12","5"
"11553","G06000104022003",60014022003,"12","5"
"11554","G06000104024001",60014024001,"14","5"
"11555","G06000104024002",60014024002,"15","6"
"11556","G06000104025001",60014025001,"8","4"
"11557","G06000104025002",60014025002,"9","4"
"11558","G06000104026001",60014026001,"10","4"
"11559","G06000104027001",60014027001,"9","4"
"11560","G06000104027002",60014027002,"6","3"
"11561","G06000104028011",60014028011,"6","3"
"11562","G06000104028012",60014028012,"11","4"
"11563","G06000104028013",60014028013,"7","3"
"11564","G06000104028021",60014028021,"GQ","GQ"
"11565","G06000104028022",60014028022,"6","3"
"11566","G06000104029001",60014029001,"6","3"
"11567","G06000104029002",60014029002,"6","3"
"11568","G06000104030001",60014030001,"20","7"
"11569","G06000104030002",60014030002,"23","7"
"11570","G06000104030003",60014030003,"22","7"
"11571","G06000104031001",60014031001,"11","4"
"11572","G06000104031002",60014031002,"12","5"
"11573","G06000104033011",60014033011,"19","7"
"11574","G06000104033012",60014033012,"19","7"
"11575","G06000104033021",60014033021,"4","2"
"11576","G06000104033022",60014033022,"15","6"
"11577","G06000104033023",60014033023,"7","3"
"11578","G06000104034011",60014034011,"6","3"
"11579","G06000104034012",60014034012,"7","3"
"11580","G06000104034013",60014034013,"8","4"
"11581","G06000104034021",60014034021,"PH","PH"
"11582","G06000104034022",60014034022,"5","3"
"11583","G06000104035011",60014035011,"6","3"
"11584","G06000104035012",60014035012,"6","3"
"11585","G06000104035013",60014035013,"6","3"
"11586","G06000104035014",60014035014,"6","3"
"11587","G06000104035021",60014035021,"20","7"
"11588","G06000104035022",60014035022,"17","6"
"11589","G06000104036001",60014036001,"8","4"
"11590","G06000104036002",60014036002,"8","4"
"11591","G06000104036003",60014036003,"9","4"
"11592","G06000104037011",60014037011,"17","6"
"11593","G06000104037012",60014037012,"14","5"
"11594","G06000104037021",60014037021,"5","3"
"11595","G06000104037022",60014037022,"5","3"
"11596","G06000104038001",60014038001,"2","1"
"11597","G06000104038002",60014038002,"3","2"
"11598","G06000104038003",60014038003,"3","2"
"11599","G06000104038004",60014038004,"2","1"
"11600","G06000104039001",60014039001,"13","5"
"11601","G06000104039002",60014039002,"12","5"
"11602","G06000104039003",60014039003,"13","5"
"11603","G06000104040001",60014040001,"16","6"
"11604","G06000104040002",60014040002,"5","3"
"11605","G06000104040003",60014040003,"12","5"
"11606","G06000104041011",60014041011,"3","2"
"11607","G06000104041012",60014041012,"3","2"
"11608","G06000104041013",60014041013,"6","3"
"11609","G06000104041021",60014041021,"12","5"
"11610","G06000104041022",60014041022,"12","5"
"11611","G06000104042001",60014042001,"1","1"
"11612","G06000104042002",60014042002,"1","1"
"11613","G06000104042003",60014042003,"2","1"
"11614","G06000104043001",60014043001,"1","1"
"11615","G06000104043002",60014043002,"1","1"
"11616","G06000104043003",60014043003,"1","1"
"11617","G06000104044001",60014044001,"1","1"
"11618","G06000104044002",60014044002,"3","2"
"11619","G06000104044003",60014044003,"3","2"
"11620","G06000104044004",60014044004,"10","4"
"11621","G06000104045011",60014045011,"1","1"
"11622","G06000104045021",60014045021,"2","1"
"11623","G06000104045022",60014045022,"2","1"
"11624","G06000104045023",60014045023,"2","1"
"11625","G06000104045024",60014045024,"2","1"
"11626","G06000104046001",60014046001,"3","2"
"11627","G06000104046002",60014046002,"2","1"
"11628","G06000104046003",60014046003,"2","1"
"11629","G06000104046004",60014046004,"2","1"
"11630","G06000104047001",60014047001,"2","1"
"11631","G06000104047002",60014047002,"2","1"
"11632","G06000104048001",60014048001,"6","3"
"11633","G06000104048002",60014048002,"3","2"
"11634","G06000104049001",60014049001,"3","2"
"11635","G06000104049002",60014049002,"3","2"
"11636","G06000104049003",60014049003,"3","2"
"11637","G06000104049004",60014049004,"3","2"
"11638","G06000104050001",60014050001,"2","1"
"11639","G06000104050002",60014050002,"2","1"
"11640","G06000104050003",60014050003,"3","2"
"11641","G06000104051001",60014051001,"1","1"
"11642","G06000104051002",60014051002,"1","1"
"11643","G06000104051003",60014051003,"1","1"
"11644","G06000104051004",60014051004,"1","1"
"11645","G06000104051005",60014051005,"1","1"
"11646","G06000104052001",60014052001,"4","2"
"11647","G06000104052002",60014052002,"5","3"
"11648","G06000104052003",60014052003,"4","2"
"11649","G06000104052004",60014052004,"4","2"
"11650","G06000104053011",60014053011,"8","4"
"11651","G06000104053012",60014053012,"9","4"
"11652","G06000104053013",60014053013,"8","4"
"11653","G06000104053021",60014053021,"17","6"
"11654","G06000104053022",60014053022,"16","6"
"11655","G06000104054011",60014054011,"15","6"
"11656","G06000104054012",60014054012,"15","6"
"11657","G06000104054013",60014054013,"15","6"
